A,b,x,Y
68.81686,51.77034,82.49593,3612.72949
16.08321,95.15139,33.43101,1544.86169
72.20856,39.18784,40.31349,2866.02771
83.02009,74.10065,53.19272,6169.50222
69.72400,46.15261,89.39297,3286.96290
57.30722,24.70128,11.73692,1373.29401
99.60286,47.05236,66.11210,4672.78327
42.59272,51.16973,23.04610,2142.40720
58.88722,37.27143,47.73632,2160.95910
9.97796,93.60510,77.07659,943.90774
11.01434,48.58877,95.17495,543.98405
38.10416,70.79092,18.62541,2688.95896
12.41855,19.05064,63.79934,246.80745
22.38572,9.37959,43.49540,199.49506
81.80151,16.98514,96.59784,1447.60629
85.66792,18.13532,40.48225,1583.67002
36.61180,7.20395,39.04158,299.41099
40.78867,35.41620,60.11844,1427.64331
55.20951,25.04638,6.04820,1369.94425
67.27424,63.43994,49.78286,4236.65142
9.44944,95.09777,63.81511,906.48583
62.76337,84.07056,66.53152,5243.31517
58.25267,28.26614,53.48862,1641.83350
40.77414,96.13711,59.38091,3932.32185
37.75635,69.05017,50.49126,2615.53461
44.36702,76.51010,49.51016,3364.11047
44.85492,92.21331,33.56294,4173.83241
79.84573,89.06125,4.22790,7040.50392
18.43007,62.37665,21.41658,1159.62230
14.67279,67.59794,40.16492,1001.02818
83.17699,73.46443,47.97071,6048.23537
46.87739,62.78111,72.70467,2922.70738
76.39423,14.69440,19.86969,1187.66898
90.14100,23.11124,17.09431,1994.65813
48.49759,33.77139,88.75907,1672.43370
8.00475,8.34635,52.46385,73.28993
29.83666,16.17348,13.29969,502.53363
28.40994,12.01760,19.45888,357.67867
2.37250,9.02328,63.63401,23.11323
46.19754,80.27343,2.83739,3722.27252
86.95550,64.37588,51.56154,5681.53153
6.16389,36.97222,23.20899,222.10869
20.70642,50.59321,98.29979,1031.25113
39.90488,26.74526,81.76983,1070.79006
20.59938,16.76210,9.37831,346.24578
65.39715,90.69109,44.32350,5952.82244
40.21945,3.04924,73.25112,88.91560
26.72418,72.01031,75.49643,1927.03645
97.00012,61.19746,67.84844,5843.61428
87.61488,96.82719,53.09169,8510.67842
94.77898,68.09975,39.92372,6529.65793
64.57893,21.04995,47.70062,1324.16912
18.31240,22.12638,58.81215,419.27926
28.36381,68.18382,94.46559,1940.08191
3.70906,47.48015,41.66581,173.38194
28.60148,87.17254,56.84551,2501.62953
98.42866,31.07440,46.67748,3101.10607
47.19728,91.81816,43.11845,4297.68123
97.32860,89.09438,12.96513,8709.22166
68.92401,33.75065,23.32297,2259.26506
84.52410,1.00517,22.80635,23.43933
44.46236,39.09150,72.61958,1722.31441
83.67853,89.10999,59.81523,7446.16302
99.18313,40.19776,78.31637,4008.91783
34.61980,7.34941,13.56191,283.48291
23.43011,82.35057,81.10637,1916.73986
69.85755,14.68686,83.93411,1080.22390
49.55625,87.65317,45.37622,4392.54590
50.00304,34.78943,10.65351,1692.47119
97.71963,21.12397,22.52574,2014.43926
2.06747,87.82961,43.62734,180.86657
